Unnamed: 0,Team,Opponent,Venue,ForAgainst,Red_Cards,Corner_Kicks,Fouls_Commited,Yellow_Cards,Shots,Goal_Kicks,Throw_Ins,Tackles,First_Half_Yellow_Cards,SoT,Offsides,Round,Season
9,Olympiacos FC,PAOK,Home,Against,0,3,7,5,7,6,26,8,1,1,2,Playoff-Playout Round 6,2024
10,PAOK,Olympiacos FC,Away,For,0,3,7,5,7,6,26,8,1,1,2,Playoff-Playout Round 6,2024
11,PAOK,Olympiacos FC,Away,Against,0,2,17,1,9,7,23,10,1,4,4,Playoff-Playout Round 6,2024
12,A.E. Kifisia FC,PAS Giannina,Home,For,0,8,17,3,17,9,24,13,2,6,2,Playoff-Playout Round 6,2024
13,A.E. Kifisia FC,PAS Giannina,Home,Against,0,4,20,5,14,4,22,17,3,5,0,Playoff-Playout Round 6,2024
14,PAS Giannina,A.E. Kifisia FC,Away,For,0,4,20,5,14,4,22,17,3,5,0,Playoff-Playout Round 6,2024
15,PAS Giannina,A.E. Kifisia FC,Away,Against,0,8,17,3,17,9,24,13,2,6,2,Playoff-Playout Round 6,2024
16,Asteras Tripolis,OFI Crete,Home,For,0,4,12,1,8,7,16,7,1,4,0,Playoff-Playout Round 6,2024
17,Asteras Tripolis,OFI Crete,Home,Against,0,2,8,0,13,5,11,6,0,2,4,Playoff-Playout Round 6,2024
18,OFI Crete,Asteras Tripolis,Away,For,0,2,8,0,13,5,11,6,0,2,4,Playoff-Playout Round 6,2024
19,OFI Crete,Asteras Tripolis,Away,Against,0,4,12,1,8,7,16,7,1,4,0,Playoff-Playout Round 6,2024
20,Panetolikos,Atromitos Athens,Home,For,1,3,14,5,11,5,24,15,2,4,0,Playoff-Playout Round 6,2024
21,Panetolikos,Atromitos Athens,Home,Against,1,6,10,6,15,8,15,16,2,6,5,Playoff-Playout Round 6,2024
22,Atromitos Athens,Panetolikos,Away,For,1,6,10,6,15,8,15,16,2,6,5,Playoff-Playout Round 6,2024
23,Atromitos Athens,Panetolikos,Away,Against,1,3,14,5,11,5,24,15,2,4,0,Playoff-Playout Round 6,2024
24,Volos NFC,Panserraikos,Home,For,0,5,20,6,14,9,23,9,1,5,0,Playoff-Playout Round 6,2024
25,Volos NFC,Panserraikos,Home,Against,1,4,21,1,13,8,17,12,1,3,0,Playoff-Playout Round 6,2024
26,Panserraikos,Volos NFC,Away,For,1,4,21,1,13,8,17,12,1,3,0,Playoff-Playout Round 6,2024
27,Panserraikos,Volos NFC,Away,Against,0,5,20,6,14,9,23,9,1,5,0,Playoff-Playout Round 6,2024
0,PAS Lamia 1964,PAOK,Home,For,2,2,16,6,9,10,18,16,1,2,2,Playoff-Playout Round 7,2024
1,PAS Lamia 1964,PAOK,Home,Against,0,8,14,0,15,7,29,11,0,4,3,Playoff-Playout Round 7,2024
2,PAOK,PAS Lamia 1964,Away,For,0,8,14,0,15,7,29,11,0,4,3,Playoff-Playout Round 7,2024
3,PAOK,PAS Lamia 1964,Away,Against,2,2,16,6,9,10,18,16,1,2,2,Playoff-Playout Round 7,2024
4,Aris Thessaloniki,Olympiacos FC,Home,For,0,3,9,1,16,8,9,9,0,5,3,Playoff-Playout Round 7,2024
5,Aris Thessaloniki,Olympiacos FC,Home,Against,0,11,18,1,23,4,20,14,1,9,1,Playoff-Playout Round 7,2024
6,Olympiacos FC,Aris Thessaloniki,Away,For,0,11,18,1,23,4,20,14,1,9,1,Playoff-Playout Round 7,2024
7,Olympiacos FC,Aris Thessaloniki,Away,Against,0,3,9,1,16,8,9,9,0,5,3,Playoff-Playout Round 7,2024
8,AEK Athens,Panathinaikos,Home,For,0,4,22,0,17,5,21,21,0,8,1,Playoff-Playout Round 7,2024
9,AEK Athens,Panathinaikos,Home,Against,0,2,15,2,7,5,20,13,0,2,0,Playoff-Playout Round 7,2024
10,Panathinaikos,AEK Athens,Away,For,0,2,15,2,7,5,20,13,0,2,0,Playoff-Playout Round 7,2024
11,Panathinaikos,AEK Athens,Away,Against,0,4,22,0,17,5,21,21,0,8,1,Playoff-Playout Round 7,2024
12,Atromitos Athens,Asteras Tripolis,Home,For,0,1,13,0,7,7,22,9,0,0,5,Playoff-Playout Round 7,2024
13,Atromitos Athens,Asteras Tripolis,Home,Against,0,4,19,2,12,6,15,10,1,4,1,Playoff-Playout Round 7,2024
14,Asteras Tripolis,Atromitos Athens,Away,For,0,4,19,2,12,6,15,10,1,4,1,Playoff-Playout Round 7,2024
15,Asteras Tripolis,Atromitos Athens,Away,Against,0,1,13,0,7,7,22,9,0,0,5,Playoff-Playout Round 7,2024
16,OFI Crete,Panetolikos,Home,For,0,3,14,1,15,4,13,15,0,5,3,Playoff-Playout Round 7,2024
17,OFI Crete,Panetolikos,Home,Against,0,3,8,1,10,10,10,13,1,4,2,Playoff-Playout Round 7,2024
18,Panetolikos,OFI Crete,Away,For,0,3,8,1,10,10,10,13,1,4,2,Playoff-Playout Round 7,2024
19,Panetolikos,OFI Crete,Away,Against,0,3,14,1,15,4,13,15,0,5,3,Playoff-Playout Round 7,2024
20,Panserraikos,A.E. Kifisia FC,Home,For,0,7,16,2,12,6,16,17,0,4,2,Playoff-Playout Round 7,2024
21,Panserraikos,A.E. Kifisia FC,Home,Against,0,5,12,2,15,9,19,20,0,6,0,Playoff-Playout Round 7,2024
22,A.E. Kifisia FC,Panserraikos,Away,For,0,5,12,2,15,9,19,20,0,6,0,Playoff-Playout Round 7,2024
23,A.E. Kifisia FC,Panserraikos,Away,Against,0,7,16,2,12,6,16,17,0,4,2,Playoff-Playout Round 7,2024
24,PAS Giannina,Volos NFC,Home,For,0,6,13,0,15,7,27,16,0,6,1,Playoff-Playout Round 7,2024
25,PAS Giannina,Volos NFC,Home,Against,0,2,9,0,8,13,26,27,0,4,0,Playoff-Playout Round 7,2024
26,Volos NFC,PAS Giannina,Away,For,0,2,9,0,8,13,26,27,0,4,0,Playoff-Playout Round 7,2024
27,Volos NFC,PAS Giannina,Away,Against,0,6,13,0,15,7,27,16,0,6,1,Playoff-Playout Round 7,2024
0,Olympiacos FC,PAS Lamia 1964,Home,For,0,6,12,1,17,5,25,18,0,10,2,Playoff-Playout Round 8,2024
1,Olympiacos FC,PAS Lamia 1964,Home,Against,0,3,10,1,11,8,21,22,0,4,1,Playoff-Playout Round 8,2024
2,PAS Lamia 1964,Olympiacos FC,Away,For,0,3,10,1,11,8,21,22,0,4,1,Playoff-Playout Round 8,2024
3,PAS Lamia 1964,Olympiacos FC,Away,Against,0,6,12,1,17,5,25,18,0,10,2,Playoff-Playout Round 8,2024
4,PAOK,AEK Athens,Home,For,0,13,16,4,8,4,15,14,3,5,0,Playoff-Playout Round 8,2024
5,PAOK,AEK Athens,Home,Against,0,4,17,3,9,5,33,9,1,4,2,Playoff-Playout Round 8,2024
6,AEK Athens,PAOK,Away,For,0,4,17,3,9,5,33,9,1,4,2,Playoff-Playout Round 8,2024
7,AEK Athens,PAOK,Away,Against,0,13,16,4,8,4,15,14,3,5,0,Playoff-Playout Round 8,2024
8,Panathinaikos,Aris Thessaloniki,Home,For,0,9,14,5,26,3,29,23,0,6,1,Playoff-Playout Round 8,2024
9,Panathinaikos,Aris Thessaloniki,Home,Against,0,1,14,6,7,14,17,25,0,2,2,Playoff-Playout Round 8,2024
10,Aris Thessaloniki,Panathinaikos,Away,For,0,1,14,6,7,14,17,25,0,2,2,Playoff-Playout Round 8,2024
11,Aris Thessaloniki,Panathinaikos,Away,Against,0,9,14,5,26,3,29,23,0,6,1,Playoff-Playout Round 8,2024
0,PAS Lamia 1964,Aris Thessaloniki,Home,For,0,3,15,3,10,9,15,7,2,5,1,Playoff-Playout Round 9,2024
1,PAS Lamia 1964,Aris Thessaloniki,Home,Against,0,2,19,4,11,7,10,11,2,5,1,Playoff-Playout Round 9,2024
2,Aris Thessaloniki,PAS Lamia 1964,Away,For,0,2,19,4,11,7,10,11,2,5,1,Playoff-Playout Round 9,2024
3,Aris Thessaloniki,PAS Lamia 1964,Away,Against,0,3,15,3,10,9,15,7,2,5,1,Playoff-Playout Round 9,2024
4,Olympiacos FC,AEK Athens,Home,For,0,7,10,2,19,7,25,16,0,6,4,Playoff-Playout Round 9,2024
5,Olympiacos FC,AEK Athens,Home,Against,0,2,11,0,11,7,22,18,0,4,2,Playoff-Playout Round 9,2024
6,AEK Athens,Olympiacos FC,Away,For,0,2,11,0,11,7,22,18,0,4,2,Playoff-Playout Round 9,2024
7,AEK Athens,Olympiacos FC,Away,Against,0,7,10,2,19,7,25,16,0,6,4,Playoff-Playout Round 9,2024
8,PAOK,Panathinaikos,Home,For,0,4,18,2,11,2,18,9,0,6,1,Playoff-Playout Round 9,2024
9,PAOK,Panathinaikos,Home,Against,0,2,12,3,6,4,20,14,0,3,0,Playoff-Playout Round 9,2024
10,Panathinaikos,PAOK,Away,For,0,2,12,3,6,4,20,14,0,3,0,Playoff-Playout Round 9,2024
11,Panathinaikos,PAOK,Away,Against,0,4,18,2,11,2,18,9,0,6,1,Playoff-Playout Round 9,2024
