Sofascore_Name,id,minutes,SoT,Shots,Tackles,fouls_commited,fouls_received,Goals,xG,Assists,xA,round,Match
Amadou Onana,923973,90.0,0.0,2.0,6.0,2.0,3.0,0.0,0.1329,0.0,0.0543837,37,Everton - Sheffield United
Dwight McNeil,935543,69.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.470868,37,Everton - Sheffield United
Abdoulaye Doucouré,96535,69.0,3.0,4.0,0.0,0.0,0.0,1.0,1.6856,0.0,0.0477824,37,Everton - Sheffield United
Dominic Calvert-Lewin,372344,79.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0667,1.0,0.747394,37,Everton - Sheffield United
André Gomes,235460,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Lewis Dobbin,998832,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Youssef Chermiti,1145627,11.0,1.0,2.0,0.0,1.0,0.0,0.0,0.1503,0.0,0.136356,37,Everton - Sheffield United
Lewis Warrington,1113799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
João Virgínia,930666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Michael Keane,110846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Ben Godfrey,754698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Beto,987489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Arnaut Danjuma,827064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Wesley Foderingham,187861,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Vinícius Souza,979290,90.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.00660347,37,Everton - Sheffield United
Auston Trusty,822459,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Jack Robinson,98454,90.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0515,0.0,0.164717,37,Everton - Sheffield United
Jayden Bogle,929132,90.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0196,0.0,0.0523752,37,Everton - Sheffield United
Gustavo Hamer,837495,90.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0483,0.0,0.0996102,37,Everton - Sheffield United
Oliver Arblaster,1191153,63.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0118002,37,Everton - Sheffield United
Andre Brooks,1396445,55.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0367,0.0,0.0,37,Everton - Sheffield United
Yasser Larouci,927360,55.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.00703353,37,Everton - Sheffield United
Cameron Archer,993451,81.0,0.0,4.0,2.0,1.0,0.0,0.0,0.1374,0.0,0.0059805,37,Everton - Sheffield United
Ben Brereton Díaz,867583,90.0,0.0,3.0,0.0,1.0,2.0,0.0,0.2158,0.0,0.0347345,37,Everton - Sheffield United
Max Lowe,355154,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00541341,37,Everton - Sheffield United
Anis Ben Slimane,1006147,35.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0888,0.0,0.0102828,37,Everton - Sheffield United
Sam Curtis,1133697,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Rhian Brewster,878705,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169935,37,Everton - Sheffield United
Ivo Grbić,283847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
