"","id","Date","Time","Competition","Gameweek","Team","Opponent","Venue","ForAgainst","Result","Yellow_Cards","Red_Cards","Season"
"9676",9677,"2023-10-19","16:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Arg Juniors","Home","For","W",3,0,2023
"9677",9678,"2023-10-24","16:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Barracas Central","Away","For","W",0,0,2023
"9678",9679,"2023-10-29","17:30","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","River Plate","Home","For","L",2,0,2023
"9679",9680,"2023-11-03","19:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Arsenal","Away","For","D",4,0,2023
"9680",9681,"2023-11-10","21:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Atlé Tucumán","Home","For","L",3,0,2023
"9681",9682,"2023-11-25","18:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Banfield","Away","For","L",4,0,2023
"9682",9683,"2023-12-01","17:00","Liga Argentina","Relegation play-off","Gimnasia y Esgrima LP","Colón","Home","For","W",1,0,2023
"9683",9684,"2023-01-30","20:00","Liga Argentina","Matchweek 1","Gimnasia y Esgrima LP","Vélez Sarsfield","Home","Against","W",0,0,2023
"9684",9685,"2023-02-06","18:00","Liga Argentina","Matchweek 2","Gimnasia y Esgrima LP","Defensa y Just","Away","Against","W",3,0,2023
"9685",9686,"2023-02-12","17:00","Liga Argentina","Matchweek 3","Gimnasia y Esgrima LP","Banfield","Home","Against","D",3,0,2023
"9686",9687,"2023-02-17","18:00","Liga Argentina","Matchweek 4","Gimnasia y Esgrima LP","Instituto","Away","Against","L",1,0,2023
"9687",9688,"2023-02-27","17:00","Liga Argentina","Matchweek 5","Gimnasia y Esgrima LP","Barracas Central","Home","Against","W",2,0,2023
"9688",9689,"2023-03-04","17:00","Liga Argentina","Matchweek 6","Gimnasia y Esgrima LP","Colón","Away","Against","D",4,0,2023
"9689",9690,"2023-03-11","17:00","Liga Argentina","Matchweek 7","Gimnasia y Esgrima LP","San Lorenzo","Home","Against","W",1,0,2023
"9690",9691,"2023-03-19","16:30","Liga Argentina","Matchweek 8","Gimnasia y Esgrima LP","Estudiantes","Away","Against","L",7,0,2023
"9691",9692,"2023-03-31","19:00","Liga Argentina","Matchweek 9","Gimnasia y Esgrima LP","Rosario Central","Home","Against","W",1,0,2023
"9692",9693,"2023-04-05","21:00","Sudamericana","Group stage","Gimnasia y Esgrima LP","Universitario","Away","Against","W",3,0,2023
"9693",9694,"2023-04-08","18:00","Liga Argentina","Matchweek 10","Gimnasia y Esgrima LP","Racing Club","Away","Against","L",5,1,2023
"9694",9695,"2023-04-13","19:30","Liga Argentina","Matchweek 11","Gimnasia y Esgrima LP","River Plate","Home","Against","W",1,0,2023
"9695",9696,"2023-04-15","21:30","Liga Argentina","Matchweek 12","Gimnasia y Esgrima LP","Belgrano","Away","Against","W",2,0,2023
"9696",9697,"2023-04-18","21:00","Sudamericana","Group stage","Gimnasia y Esgrima LP","Santa Fe","Home","Against","W",2,1,2023
"9697",9698,"2023-04-24","21:30","Liga Argentina","Matchweek 13","Gimnasia y Esgrima LP","Arg Juniors","Home","Against","L",2,0,2023
